IPO Only
2025-07-01

Ticker,Name,Start,End,Pct,Rank,Sector,Industry,MktCap,Price,EPSExclXorGr%PYQ,SalesPSGr%PYQ,EPSExclXorGr%TTM,SalesPSGr%TTM,ROE%TTM,#Institution,Inst%Own,InstNetPurch,
PLTR,"Palantir Technologies, Inc.",132.12,116.67,-11.69,99.33,Business Services,N/A,306631.95,130.68,90.45,31.00,80.60,25.47,N/A,-1.0E8,N/A,N/A,
SHEL,Shell Plc,69.61,77.54,11.40,98.67,Energy,N/A,205814.35,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
ARM,Arm Holdings plc,154.63,354.57,129.30,98.26,Technology,N/A,173402.09,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
GEV,"GE Vernova, Inc.",503.71,1174.86,133.24,97.69,Industrials,N/A,142046.74,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
APP,AppLovin Corp.,336.00,515.23,53.34,96.90,Technology,N/A,113471.25,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
DASH,"DoorDash, Inc.",238.80,184.53,-22.73,96.66,Consumer Services,N/A,102559.68,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
CEG,Constellation Energy Corp.,305.03,248.37,-18.57,96.54,Utilities,N/A,100161.49,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
COIN,"Coinbase Global, Inc.",354.45,146.19,-58.76,96.02,Finance,N/A,89783.01,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
BAM,Brookfield Asset Management Ltd.,53.56,44.85,-16.26,95.92,Finance,N/A,88942.82,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
ABNB,"Airbnb, Inc.",135.39,143.10,5.69,95.77,Consumer Services,N/A,86456.07,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
HOOD,"Robinhood Markets, Inc.",97.98,100.28,2.35,94.94,Finance,N/A,73496.40,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
SNOW,"Snowflake, Inc.",217.34,254.50,17.10,94.92,Technology,N/A,73483.56,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
RBLX,Roblox Corp.,102.40,54.38,-46.89,94.71,Technology,N/A,69290.75,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
NU,Nu Holdings Ltd.,13.49,13.36,-0.96,94.05,Finance,N/A,62927.48,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
CPNG,"Coupang, Inc.",30.03,17.37,-42.16,93.56,Consumer Non-Cyclicals,N/A,55633.14,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
HLN,Haleon plc,10.06,9.33,-7.27,92.22,Healthcare,N/A,44463.69,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
KVUE,"Kenvue, Inc.",19.97,19.11,-4.32,91.43,Consumer Non-Cyclicals,N/A,40087.72,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
FER,Ferrovial NV,52.95,68.61,29.58,91.10,Industrials,N/A,38012.54,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
GEHC,"GE Healthcare Technologies, Inc.",75.98,64.01,-15.76,90.35,Healthcare,N/A,33982.21,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
OWL,"Blue Owl Capital, Inc.",18.11,8.75,-51.68,89.30,Finance,N/A,28907.12,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
RKT,"Rocket Cos., Inc.",14.57,15.75,8.10,89.12,Finance,N/A,28289.96,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
LI,"Li Auto, Inc.",26.14,11.74,-55.09,88.89,Consumer Cyclicals,N/A,27634.49,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
EXE,Expand Energy Corp.,106.91,91.19,-14.70,88.71,Energy,N/A,26992.46,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
RDDT,"Reddit, Inc.",159.34,173.58,8.94,88.32,Technology,N/A,25309.37,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
TOST,"Toast, Inc.",42.54,27.82,-34.60,88.25,Consumer Cyclicals,N/A,25236.75,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
VLTO,Veralto Corp.,102.28,88.68,-13.30,88.04,Industrials,N/A,24975.04,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
VIK,Viking Holdings Ltd. (Bermuda),54.56,104.67,91.84,87.35,Consumer Services,N/A,23363.31,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
BEKE,"KE Holdings, Inc.",17.33,14.53,-16.15,87.25,Finance,N/A,23028.21,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
IOT,"Samsara, Inc.",38.38,32.43,-15.50,87.04,Technology,N/A,22245.28,N/A,N/A,N/A,N/A,N/A,N/A,-1.0E8,N/A,N/A,
