IPO Only
2026-07-01

Ticker,Name,Last,Rank,Sector,Industry,MktCap,Price,EPSExclXorGr%PYQ,SalesPSGr%PYQ,EPSExclXorGr%TTM,SalesPSGr%TTM,ROE%TTM,#Institution,Inst%Own,InstNetPurch,
ARM,Arm Holdings plc,354.57,99.18,Technology,Semiconductor Manufacturing,375489.64,354.57,48.63,19.73,13.60,22.44,11.95,914,8.25,8.84,
SNDK,Sandisk Corp.,2273.73,99.06,Technology,Computer Hardware and Storage,335604.74,2273.73,272.72,224.20,378.45,68.79,39.30,1353,77.99,-7.58,
GEV,"GE Vernova, Inc.",1174.86,98.96,Industrials,Electrical Equipment and Power Systems,315868.43,1174.86,1816.17,18.97,389.82,12.99,83.23,3517,78.03,-2.72,
SHEL,Shell Plc,77.54,98.41,Energy,Integrated Oil and Gas Exploration and Production,218530.80,77.54,26.42,6.85,47.93,1.04,10.64,2278,67.55,-108.81,
HOOD,"Robinhood Markets, Inc.",100.28,95.72,Finance,Investment Services,90320.41,100.28,2.33,14.49,18.01,40.87,21.92,1508,62.23,-12.35,
CEG,Constellation Energy Corp.,248.37,95.70,Utilities,Energy Utilities,89998.23,248.37,1095.18,9.50,21.38,1.89,16.33,2225,73.06,8.45,
ALAB,"Astera Labs, Inc.",483.02,95.18,Technology,Semiconductor Manufacturing,82217.00,483.02,148.21,90.15,532.67,100.75,21.11,843,71.46,4.20,
BAM,Brookfield Asset Management Ltd.,44.85,94.46,Finance,Investment Services,73521.64,44.85,6.87,24.58,11.09,259.89,31.35,773,16.75,-12.77,
NU,Nu Holdings Ltd.,13.36,93.46,Finance,International Banks,64736.90,13.36,55.23,55.58,46.74,48.02,30.04,1211,60.99,12.34,
RKLB,Rocket Lab Corp.,101.65,92.89,Industrials,Aerospace and Defense Manufacturing,57680.83,101.65,37.95,36.51,20.01,21.78,-13.55,1031,51.02,15.65,
CRWV,"CoreWeave, Inc.",99.54,92.49,Technology,Internet and Data Services,54445.33,99.54,-76.43,73.30,-21.73,88.24,-47.80,899,37.32,30.18,
MDLN,"Medline, Inc.",39.44,92.32,Healthcare,Healthcare Support Services,51813.00,39.44,-62.12,4.61,-22.07,5.95,N/A,357,51.06,108.26,
FER,Ferrovial NV,68.61,92.04,Industrials,Facilities and Construction Services,49776.07,68.61,-86.67,14.35,-71.43,10.59,14.71,560,32.21,-90.64,
CRDO,Credo Technology Group Holding Ltd.,271.95,91.99,Technology,Semiconductor Manufacturing,49122.80,271.95,336.83,142.93,790.13,188.92,34.41,877,75.54,-2.82,
VIK,Viking Holdings Ltd. (Bermuda),104.67,91.82,Consumer Services,Hospitality Services,46699.26,104.67,48.76,16.68,119.41,19.97,299.93,603,48.49,9.13,
GFS,"GLOBALFOUNDRIES, Inc.",82.41,91.65,Technology,Semiconductor Equipment and Services,45565.55,82.41,-51.04,2.36,511.36,0.08,6.84,449,25.42,29.05,
AU,Anglogold Ashanti Plc,80.89,91.00,Non-Energy Materials,Metal Ore Mining,40840.35,80.89,188.38,64.40,142.08,71.85,45.39,880,81.09,2.18,
HLN,Haleon plc,9.33,90.95,Healthcare,Other Biopharmaceuticals,40678.29,9.33,26.84,5.74,21.31,3.05,10.38,1059,93.47,-59.25,
KVUE,"Kenvue, Inc.",19.11,90.20,Consumer Non-Cyclicals,Personal Care and Cleaning Products,36691.37,19.11,47.40,4.65,53.75,0.08,15.70,1225,94.38,-42.41,
Q,"Qnity Electronics, Inc.",163.31,89.81,Non-Energy Materials,Specialty and Performance Chemicals,34202.60,163.31,-22.08,17.14,-13.76,10.30,7.24,1299,76.11,2.81,
RDDT,"Reddit, Inc.",173.58,89.56,Technology,Internet and Data Services,32927.78,173.58,609.30,53.84,445.59,55.25,26.22,947,65.27,-6.88,
AMRZ,Amrize Ltd.,53.30,88.59,Non-Energy Materials,Construction Materials,29460.83,53.30,-33.23,4.57,-6.16,2.44,10.12,618,46.78,-16.30,
GEHC,"GE Healthcare Technologies, Inc.",64.01,88.44,Healthcare,Other Medical Devices,29157.94,64.01,-30.73,7.88,-12.18,6.43,19.24,1526,90.00,-8.47,
VG,"Venture Global, Inc.",11.13,87.84,Energy,Midstream Energy,27350.48,11.13,20.11,54.88,89.63,133.75,38.83,387,18.57,-20.67,
ROIV,Roivant Sciences Ltd.,35.39,86.97,Healthcare,Miscellaneous Healthcare,25328.66,35.39,227.78,-71.01,-102.57,-90.56,-6.51,516,75.39,23.26,
VLTO,Veralto Corp.,88.68,85.85,Industrials,Machinery Manufacturing,22006.90,88.68,13.31,7.14,10.83,6.33,36.52,1300,96.97,-3.12,
SN,"SharkNinja, Inc.",152.27,85.73,Consumer Non-Cyclicals,Household Appliances and Tools,21476.34,152.27,2.94,15.41,57.10,15.76,29.37,577,63.03,1.99,
RIVN,"Rivian Automotive, Inc.",17.35,85.60,Consumer Cyclicals,Consumer Vehicles and Parts,21124.00,17.35,30.50,1.38,21.58,0.53,-66.20,948,41.77,-46.63,
ULS,"UL Solutions, Inc.",101.86,85.28,Business Services,Other Professional Services,20478.16,101.86,36.67,6.99,2.13,6.39,30.49,423,44.17,0.39,
IONQ,"IonQ, Inc.",53.26,84.88,Technology,Computer Hardware and Storage,19880.36,53.26,1570.07,426.70,88.52,167.80,10.75,760,54.46,7.82,
AS,"Amer Sports, Inc.",33.84,84.46,Consumer Cyclicals,Apparel and Accessory Products,18742.13,33.84,19.14,28.73,116.81,25.72,7.65,414,30.70,28.65,
IOT,"Samsara, Inc.",32.43,84.36,Technology,Software,18602.97,32.43,294.10,26.09,144.93,25.20,4.36,672,65.66,34.77,
NXT,"Nextpower, Inc.",119.14,84.14,Industrials,Electrical Equipment and Power Systems,18067.97,119.14,-7.61,-7.77,10.67,16.45,29.57,879,110.56,8.39,
TLN,Talen Energy Corp.,384.26,83.96,Utilities,Energy Utilities,17556.01,384.26,145.11,17.59,-108.89,40.74,-1.86,671,88.43,-0.05,
IREN,IREN Ltd.,45.73,83.14,Finance,Specialty Finance,16319.09,45.73,-842.45,-22.25,292.70,44.34,6.69,573,50.25,12.44,
TOST,"Toast, Inc.",27.82,83.04,Finance,Specialty Finance,16135.60,27.82,122.98,22.12,178.81,23.64,22.50,912,77.66,-3.75,
RBRK,"Rubrik, Inc.",80.28,82.82,Technology,Software,15871.97,80.28,61.43,30.77,48.87,37.11,N/A,568,67.55,4.13,
TPG,"TPG, Inc.",40.55,82.67,Finance,Investment Services,15583.87,40.55,-6143.24,-53.76,169.32,7.43,11.40,441,72.61,-3.21,
CRCL,"Circle Internet Group, Inc.",62.63,82.60,Finance,Specialty Finance,15479.68,62.63,-28.82,0.11,-301.54,26.39,-3.79,620,52.18,12.94,
JHX,James Hardie Industries Plc,26.18,82.32,Non-Energy Materials,Construction Materials,15147.80,26.18,-51.30,7.76,-78.03,-7.00,2.42,462,91.30,48.79,
WSE,Wise Group Plc,11.91,81.78,Finance,Specialty Finance,14407.00,11.91,-9.54,13.08,-7.59,13.04,28.81,348,73.11,0.12,
SOLS,"Solstice Advanced Materials, Inc.",88.60,81.50,Non-Energy Materials,Mixed Chemicals,14062.49,88.60,N/A,N/A,N/A,N/A,N/A,1256,84.64,2.26,
BTSG,"BrightSpring Health Services, Inc.",69.74,80.95,Healthcare,Healthcare Support Services,13497.26,69.74,144.76,21.93,282.30,14.56,9.33,416,90.45,21.50,
SOLV,Solventum Corp.,77.15,80.86,Healthcare,Other Medical Devices,13378.21,77.15,-90.54,-3.43,276.20,-0.67,34.80,1051,77.47,2.66,
CRBG,"Corebridge Financial, Inc.",28.63,80.56,Finance,Insurance,13076.10,28.63,90.60,33.15,-52.61,36.17,2.20,544,58.17,-1.22,
JBS,JBS NV,11.85,79.59,Consumer Non-Cyclicals,Food and Beverage Production,12248.84,11.85,-16.59,N/A,70.95,N/A,33.88,368,22.71,15.05,
ENLT,Enlight Renewable Energy Ltd.,89.02,79.39,Utilities,Energy Utilities,12190.93,89.02,-77.60,21.82,-53.89,15.13,3.65,199,51.67,-10.15,
KLAR,Klarna Group plc,20.24,79.16,Finance,Specialty Finance,12028.03,20.24,95.07,44.07,-199.10,32.78,-8.60,224,36.03,1.79,
WULF,"TeraWulf, Inc.",24.70,79.04,Finance,Specialty Finance,11924.72,24.70,-530.69,-10.46,-663.20,15.31,-2496.43,542,84.88,26.85,
BROS,"Dutch Bros, Inc.",71.81,78.94,Consumer Services,Hospitality Services,11815.99,71.81,-0.16,24.73,64.56,22.46,12.44,602,105.04,13.42,
ONON,On Holding AG,35.42,78.67,Consumer Cyclicals,Apparel and Accessory Products,11566.02,35.42,106.60,30.59,32.75,35.22,16.48,631,63.78,1.18,
CART,"Maplebear, Inc.",47.35,78.42,Consumer Services,Hospitality Services,11393.12,47.35,51.33,24.17,17.09,22.24,17.19,544,58.85,-0.33,
DRS,"Leonardo DRS, Inc.",42.67,78.34,Industrials,Aerospace and Defense Manufacturing,11351.36,42.67,24.03,5.92,23.83,10.50,10.86,402,26.60,0.78,
