ticker,streaks,need_from,had_from,resolved_as,confidence,new_first_bar,bars_added,coverage_gap_days,seam_gap_pct,note,merged,source
RADCQ^24,46,2005-06-24,2023-10-17,RAD,low,2005-06-24,4608,,,"LOW confidence -- not merged, verify manually",False,
ACIIQ^16,40,2008-02-08,2021-03-29,ACI,low,2008-02-08,2184,,,"LOW confidence -- not merged, verify manually",False,
VTLE^25,37,2015-02-03,2023-01-09,,,,0,,,no prior symbol found,False,
WPM,34,2006-03-02,2017-05-16,SLW,high,2006-03-02,2821,5.0,,,True,
SSRM,31,2008-12-16,2017-08-03,SSRI,high,2008-12-16,2172,5.0,,,True,
WLTGQ^19,30,2005-06-27,2021-12-07,WLT,low,2005-06-27,2524,,,"LOW confidence -- not merged, verify manually",False,
WGHTQ^25,29,2014-10-10,2025-05-16,,,,0,,,no prior symbol found,False,
SUNEQ^17,29,2006-05-15,2013-06-03,SUN,low,2006-05-15,1612,,,"LOW confidence -- not merged, verify manually",False,
LCINQ^23,27,2013-11-04,2023-05-04,LCI,low,2013-11-04,2380,,,"LOW confidence -- not merged, verify manually",False,
UAL,26,2006-11-30,2010-10-01,,,,0,,,no prior symbol found,False,
IONS,26,2006-11-14,2015-12-22,ISIS,high,2006-11-14,2290,5.0,,,True,
KATE^17,26,2008-09-02,2014-02-26,,,,0,,,no prior symbol found,False,
HQCL^19,25,2007-02-27,2015-02-09,,,,0,,,no prior symbol found,False,
PSKY,24,2008-12-23,2025-08-07,,,,0,,,no prior symbol found,False,
GOLLQ^25,22,2006-01-03,2024-01-29,GOL,low,2006-01-03,4546,,,"LOW confidence -- not merged, verify manually",False,
YELLQ^26,22,2008-04-29,2021-02-08,,,,0,,,no prior symbol found,False,
QRVO,21,2006-04-26,2015-01-02,,,,0,,,no prior symbol found,False,
BFYT^20,21,2017-06-27,2020-03-06,,,,0,,,no prior symbol found,False,
TVRD,21,2015-07-31,2025-04-16,CARA,high,2015-07-31,2442,4.0,,,True,
KEEL,20,2021-03-22,2026-04-06,,,,0,,,no prior symbol found,False,
LLFLQ^24,20,2015-11-12,2024-08-13,,,,0,,,no prior symbol found,False,
VRN^25,18,2015-10-16,2024-05-15,,,,0,,,no prior symbol found,False,
CNXT.1^11,18,2005-03-01,2006-09-15,,,,0,,,no prior symbol found,False,
TCRT,18,2015-01-15,2022-01-27,ZIOP,high,2015-01-15,1771,4.0,,,True,
GFASY,17,2007-11-12,2021-12-31,,,,0,,,no prior symbol found,False,
HPR^21,17,2015-02-05,2018-03-20,,,,0,,,no prior symbol found,False,
IOGPQ^22,16,2009-11-11,2022-05-19,,,,0,,,no prior symbol found,False,
JOY^17,16,2006-02-08,2011-12-06,,,,0,,,no prior symbol found,False,
CCL,16,2008-08-01,2021-01-07,,,,0,,,no prior symbol found,False,
ANDV^18,15,2005-04-14,2017-08-01,,,,0,,,no prior symbol found,False,
TCOM,15,2006-05-23,2019-11-05,,,,0,,,no prior symbol found,False,
TZOO,15,2005-01-03,2006-09-15,,,,0,,,no prior symbol found,False,
CBI^18,15,2006-02-06,2016-07-19,,,,0,,,no prior symbol found,False,
SLAIY,15,2014-01-22,2025-10-20,,,,0,,,no prior symbol found,False,
BKNG,15,2007-08-16,2018-02-27,,,,0,,,no prior symbol found,False,
CIEN,15,2005-01-04,2006-09-15,,,,0,,,no prior symbol found,False,
MNDT^22,15,2014-01-13,2021-10-05,,,,0,,,no prior symbol found,False,
ATML^16,14,2005-03-11,2006-09-15,,,,0,,,no prior symbol found,False,
LKM^18,14,2013-07-29,2018-03-14,,,,0,,,no prior symbol found,False,
MP,14,2021-03-02,2024-07-15,,,,0,,,no prior symbol found,False,
