,0
AA,True
AABA^19,False
AAN.2^10,False
AAOI,True
ABAT,True
ABAX^18,False
ABCL,True
ABLE,True
ABTS,True
ACAD,True
ACB,True
ACGN^23,False
ACHHY^23,
ACIIQ^16,
ACLS,True
ACM,True
ACVA,True
ADBL^08,False
ADEA,True
ADM,True
ADVM^25,False
AEBI,True
AEIS,True
AEM,True
AEVA,True
AF^17,False
AGI,True
AGL,True
AGP^12,False
AGRO,True
AHCO,True
AIIO,True
AIRT,True
AKAM,True
AKS^20,False
ALB,True
ALGN,True
ALJ^17,False
ALLO,True
ALO.2^08,False
ALPP,True
ALTI.1^16,True
ALTR.1^15,False
AMAG^20,False
AMCC^17,False
AMCO^20,False
AMCX,True
AMKR,True
AMLN^12,False
AMPG,True
ANAD^16,False
ANDE,True
ANDV^18,False
ANNX,True
ANTP^13,False
AOBI,True
APA,True
API,True
APP,True
APPX.1^08,True
APTOF^26,
AQNT^07,False
ARBA^12,False
ARDX,True
ARHS,True
ARNA^22,False
AROC,True
ARRS^19,False
ARRY.1^19,True
ARST.1^10,False
ARXT^08,False
ASAPQ,True
ASEI^16,False
ASMB,True
ASRT^26,False
ASXC^24,False
ATCO^23,False
ATEC,True
ATHN.2^19,False
ATHR.1^11,True
ATI,True
ATKR,True
ATML^16,False
ATOM,True
ATW^17,False
AUY^23,False
AVAV,True
AVLNF,True
AVNX^09,False
AXAS^23,False
AXLL^16,False
AY^24,False
AZPN^25,False
BAND,True
BARE^10,False
BASXQ^22,
BBIO,True
BBKCD,
BBWI,True
BBY,True
BCAB,True
BCRX,True
BCSI^12,False
BEAM.2^14,True
BEAT.2^21,True
BEAV^17,False
BEKE,True
BEL^19,False
BEST^25,False
BETSF,True
BFXXQ^24,
BFYT^20,False
BGO.1^07,False
BID.1^19,True
BIDU,True
BIIB,True
BINI,True
BIORQ,True
BJ,True
BKKT,True
BKNG,True
BLDP,True
BLIAQ,True
BLMN,True
BMRN,True
BOLT.1^14,True
BOOM,True
BORNY^22,
BOT.2^07,True
BPPTU^25,
BPYU^21,False
BRCD^17,False
BRFS^25,False
BRY.1^13,False
BTE,True
BTMCQ^26,
BUCY^11,False
