ticker,bars_added,new_first_bar,overlap_days,split_factor,max_1d_move,note
NTPIF,577,2011-01-03,932,1.0,1.9,max 1d move 1.9x -- possible split inside window
DXCM,1258,2011-01-03,252,0.25,2.56,scaled x0.250 | max 1d move 2.6x -- possible split inside window
EQT,770,2011-01-03,740,0.5444,1.5,scaled x0.544
DBI,1320,2011-01-03,190,1.0,2.26,max 1d move 2.3x -- possible split inside window
ZVOI,1329,2011-01-03,181,1.0,1.65,max 1d move 1.7x -- possible split inside window
GLBR,1224,2011-01-03,0,1.0,10.58,max 1d move 10.6x -- possible split inside window
VEON,1258,2011-01-03,252,25.0,1.22,scaled x25.000
MXL,1258,2011-01-03,0,1.0,2.03,max 1d move 2.0x -- possible split inside window
UVE,662,2011-01-03,848,1.0,3.17,max 1d move 3.2x -- possible split inside window
AVLNF,502,2011-01-03,0,1.0,1.32,
LION,1258,2011-01-03,124,1.901,1.93,scaled x1.901 | max 1d move 1.9x -- possible split inside window
SNBRQ,1258,2011-01-03,252,1.0,1.32,
GIII,1122,2011-01-03,388,1.0,2.09,max 1d move 2.1x -- possible split inside window
CCOI,1304,2011-01-03,206,1.0,1.76,max 1d move 1.8x -- possible split inside window
TSEM,1254,2011-01-03,0,1.0,8.07,max 1d move 8.1x -- possible split inside window
PVCT,155,2011-02-14,49,1.0,2.79,max 1d move 2.8x -- possible split inside window
MX,1462,2011-03-14,0,1.0,2.0,max 1d move 2.0x -- possible split inside window
JAMN,87,2011-03-14,0,1.0,1.54,
UAN,1190,2011-04-11,0,1.0,1.48,
NSLR,1322,2011-05-02,106,0.8394,1.43,scaled x0.839
KOS,1011,2011-05-16,407,1.0,1.16,
NGL,682,2011-05-16,736,1.0,1.45,
AMCX,1142,2011-06-20,0,1.0,1.34,
SXC,834,2011-07-25,536,1.0,1.46,
TRIP,1020,2011-12-12,0,1.0,1.92,max 1d move 1.9x -- possible split inside window
NSRS,129,2012-02-06,0,1.0,3.4,max 1d move 3.4x -- possible split inside window
FET,1187,2012-04-16,0,1.0,4.95,max 1d move 5.0x -- possible split inside window
QSR,370,2012-06-25,768,1.0,1.38,
XWEL,572,2012-07-30,0,1.0,3.58,max 1d move 3.6x -- possible split inside window
TVTX,761,2012-12-24,0,1.0,2.39,max 1d move 2.4x -- possible split inside window
AAOI,519,2014-01-02,489,1.0,1.34,
SBSW,756,2014-01-02,0,1.0,1.18,
SLAIY,756,2014-01-02,0,1.0,1.39,
CARM,652,2014-02-10,0,1.0,4.5,max 1d move 4.5x -- possible split inside window
TBPH,662,2014-05-19,0,1.0,1.24,
NTBLQ,565,2014-10-06,0,1.0,2.9,max 1d move 2.9x -- possible split inside window
UNIT,426,2015-04-27,252,1.0,1.1,
OLLI,442,2015-07-20,178,1.0,2.33,max 1d move 2.3x -- possible split inside window
LITE,146,2015-07-27,469,1.0,1.19,
TECX,252,2019-01-02,0,1.0,1.22,
PLMR,177,2019-04-22,0,1.0,1.15,
QNCX,162,2019-05-13,0,1.0,1.39,
BBIO,128,2019-07-01,0,1.0,1.17,
TXG,75,2019-09-16,0,1.0,1.2,
