ticker,from,to,source,price_basis
NTPIF,2011-01-03,2014-04-21,P123,"as-traded, scaled to Polygon at seam"
DXCM,2011-01-03,2016-12-30,P123,"as-traded, scaled to Polygon at seam"
EQT,2011-01-03,2015-01-26,P123,"as-traded, scaled to Polygon at seam"
DBI,2011-01-03,2019-04-01,P123,"as-traded, scaled to Polygon at seam"
ZVOI,2011-01-03,2019-04-12,P123,"as-traded, scaled to Polygon at seam"
GLBR,2011-01-03,2016-12-30,P123,"as-traded, scaled to Polygon at seam"
VEON,2011-01-03,2016-12-30,P123,"as-traded, scaled to Polygon at seam"
MXL,2011-01-03,2016-12-30,P123,"as-traded, scaled to Polygon at seam"
UVE,2011-01-03,2014-08-20,P123,"as-traded, scaled to Polygon at seam"
AVLNF,2011-01-03,2012-12-31,P123,"as-traded, scaled to Polygon at seam"
LION,2011-01-03,2016-12-30,P123,"as-traded, scaled to Polygon at seam"
SNBRQ,2011-01-03,2016-12-30,P123,"as-traded, scaled to Polygon at seam"
GIII,2011-01-03,2016-06-17,P123,"as-traded, scaled to Polygon at seam"
CCOI,2011-01-03,2019-03-08,P123,"as-traded, scaled to Polygon at seam"
TSEM,2011-01-03,2019-12-31,P123,"as-traded, scaled to Polygon at seam"
PVCT,2011-02-14,2014-05-15,P123,"as-traded, scaled to Polygon at seam"
MX,2011-03-14,2019-12-31,P123,"as-traded, scaled to Polygon at seam"
JAMN,2011-03-14,2011-07-15,P123,"as-traded, scaled to Polygon at seam"
UAN,2011-04-11,2016-12-30,P123,"as-traded, scaled to Polygon at seam"
NSLR,2011-05-02,2019-07-31,P123,"as-traded, scaled to Polygon at seam"
KOS,2011-05-16,2016-05-20,P123,"as-traded, scaled to Polygon at seam"
NGL,2011-05-16,2015-01-30,P123,"as-traded, scaled to Polygon at seam"
AMCX,2011-06-20,2016-12-30,P123,"as-traded, scaled to Polygon at seam"
SXC,2011-07-25,2015-11-13,P123,"as-traded, scaled to Polygon at seam"
TRIP,2011-12-12,2016-12-30,P123,"as-traded, scaled to Polygon at seam"
NSRS,2012-02-06,2016-04-22,P123,"as-traded, scaled to Polygon at seam"
FET,2012-04-16,2019-12-31,P123,"as-traded, scaled to Polygon at seam"
QSR,2012-06-25,2014-12-12,P123,"as-traded, scaled to Polygon at seam"
XWEL,2012-07-30,2016-12-30,P123,"as-traded, scaled to Polygon at seam"
TVTX,2012-12-24,2016-12-30,P123,"as-traded, scaled to Polygon at seam"
AAOI,2014-01-02,2016-01-25,P123,"as-traded, scaled to Polygon at seam"
SBSW,2014-01-02,2016-12-30,P123,"as-traded, scaled to Polygon at seam"
SLAIY,2014-01-02,2016-12-30,P123,"as-traded, scaled to Polygon at seam"
CARM,2014-02-10,2016-12-30,P123,"as-traded, scaled to Polygon at seam"
TBPH,2014-05-19,2016-12-30,P123,"as-traded, scaled to Polygon at seam"
NTBLQ,2014-10-06,2016-12-30,P123,"as-traded, scaled to Polygon at seam"
UNIT,2015-04-27,2016-12-30,P123,"as-traded, scaled to Polygon at seam"
OLLI,2015-07-20,2019-04-17,P123,"as-traded, scaled to Polygon at seam"
LITE,2015-07-27,2016-02-23,P123,"as-traded, scaled to Polygon at seam"
TECX,2019-01-02,2019-12-31,P123,"as-traded, scaled to Polygon at seam"
PLMR,2019-04-22,2019-12-31,P123,"as-traded, scaled to Polygon at seam"
QNCX,2019-05-13,2019-12-31,P123,"as-traded, scaled to Polygon at seam"
BBIO,2019-07-01,2019-12-31,P123,"as-traded, scaled to Polygon at seam"
TXG,2019-09-16,2019-12-31,P123,"as-traded, scaled to Polygon at seam"
