ticker,streaks,need_from,have_from,clean
SPWRQ^24,29,2006-01-17,2024-08-16,SPWRQ
RADCQ^24,19,2005-06-24,2023-10-17,RADCQ
CLVSQ^23,18,2013-06-03,2022-12-21,CLVSQ
NXH,16,2005-08-18,2026-08-17,NXH
SHLDQ^22,16,2008-02-13,2021-12-31,SHLDQ
FNMA,15,2007-08-27,2021-12-31,FNMA
SGMOQ,14,2007-11-05,2026-06-24,SGMOQ
ACIIQ^16,14,2008-02-08,2021-03-29,ACIIQ
PGEN,13,2014-01-16,2020-02-03,PGEN
VTLE^25,13,2015-02-03,2023-01-09,VTLE
XYZ,13,2016-03-04,2025-01-21,XYZ
FMCC,12,2007-08-23,2021-12-31,FMCC
LNWO,12,2010-12-16,2025-11-13,LNWO
ACORQ^24,12,2006-10-02,2024-04-12,ACORQ
YELLQ^26,12,2008-04-29,2023-08-16,YELLQ
KYNB,11,2015-07-01,2026-01-08,KYNB
WPM,11,2006-03-02,2017-05-16,WPM
WLTGQ^19,11,2005-06-27,2021-12-07,WLTGQ
FLNA,11,2018-01-16,2026-03-11,FLNA
WGHTQ^25,11,2014-10-10,2025-05-16,WGHTQ
BB,10,2007-10-24,2017-10-16,BB
DCH,10,2008-02-06,2026-02-05,DCH
SSRM,10,2008-12-16,2017-08-03,SSRM
ONC,10,2017-09-18,2025-01-02,ONC
LCINQ^23,10,2013-11-04,2023-05-04,LCINQ
MLCO,10,2007-09-27,2017-04-06,MLCO
HQCL^19,10,2007-02-27,2015-02-09,HQCL
ESINQ,10,2008-04-17,2021-12-31,ESINQ
FTCHQ,10,2018-12-07,2024-07-12,FTCHQ
KATE^17,10,2008-09-02,2014-02-26,KATE
SUNEQ^17,10,2006-05-15,2013-06-03,SUNEQ
PSKY,10,2008-12-23,2025-08-07,PSKY
UAL,9,2006-11-30,2010-10-01,UAL
JOYY,9,2013-05-21,2019-12-30,JOYY
ENDPQ^24,9,2008-11-21,2022-08-26,ENDPQ
SFUNY,9,2010-11-22,2022-05-24,SFUNY
ZG,9,2012-03-16,2015-08-17,ZG
CONNQ^25,9,2013-04-18,2024-08-06,CONNQ
IONS,9,2006-11-14,2015-12-22,IONS
NOVAQ^25,9,2020-08-03,2025-06-10,NOVAQ
TRQ^22,9,2006-10-30,2012-08-08,TRQ
QRVO,9,2006-04-26,2015-01-02,QRVO
ALTO,9,2006-02-02,2021-02-01,ALTO
INFIQ,8,2012-12-10,2023-10-02,INFIQ
TVRD,8,2015-07-31,2025-04-16,TVRD
TECK,8,2008-02-21,2016-12-05,TECK
NVTAQ^24,8,2018-09-05,2024-02-15,NVTAQ
