ticker,revised_ticker,name,primary_exchange,type,active,chartability
RMBS,RMBS,Rambus Inc,XNAS,CS,True,likely_chartable
FSLR,FSLR,"First Solar, Inc.",XNAS,CS,True,likely_chartable
VNDA,VNDA,Vanda Pharmaceuticals Inc.,XNAS,CS,True,likely_chartable
SIGA,SIGA,SIGA Technologies Inc.,XNAS,CS,True,likely_chartable
TSL.1^17,TSL,GraniteShares 1.25x Long TSLA  Daily ETF,XNAS,ETF,True,low_confidence
ONT.1^10,ONT,"Onterris, Inc.",XNYS,CS,True,likely_chartable
ACAD,ACAD,Acadia Pharmaceuticals Inc.,XNAS,CS,True,likely_chartable
SA,SA,"Seabridge Gold, Inc.",XNYS,CS,True,likely_chartable
TNH^18,TNH,Terra Nitrogen,XNYS,CS,False,likely_chartable
IOC^17,IOC,Interoil Corporation,XNYS,CS,False,likely_chartable
AGIXQ^09,AGIXQ,,,,,unknown_not_in_polygon
CROX,CROX,"Crocs, Inc.",XNAS,CS,True,likely_chartable
DJ^07,DJ,DOW JONES COMPANY INC,XNYS,CS,False,likely_chartable
ISRG,ISRG,Intuitive Surgical Inc.,XNAS,CS,True,likely_chartable
CHTRQ^09,CHTRQ,,,,,unknown_not_in_polygon
CRNT,CRNT,Ceragon Networks Ltd,XNAS,CS,True,likely_chartable
AVNR^15,AVNR,"AVANIR PHARMACEUTICALS, INC CL A",XNAS,,False,likely_chartable
NRPH^07,NRPH,NEW RIVER PHARMACEUTICALS INC,,,False,low_confidence
ONXX^13,ONXX,ONYX PHARMACEUTICALS INC,XNAS,,False,likely_chartable
MSA,MSA,Mine Safety Incorporated,XNYS,CS,True,likely_chartable
NVT.1^08,NVT,nVent Electric plc Ordinary Shares,XNYS,CS,True,likely_chartable
DRYS^19,DRYS,DryShips Inc. Common Stock,XNAS,CS,False,likely_chartable
JEF,JEF,Jefferies Financial Group Inc.,XNYS,CS,True,likely_chartable
ELON.1^18,ELON,BattleShares TSLA vs F ETF,ARCX,ETS,False,low_confidence
GRMN,GRMN,Garmin Ltd,XNYS,CS,True,likely_chartable
GMCR^16,GMCR,KEURIG GREEN MTN INC,XNAS,,False,likely_chartable
FCN,FCN,"FTI Consulting, Inc.",XNYS,CS,True,likely_chartable
LVS,LVS,Las Vegas Sands Corp.,XNYS,CS,True,likely_chartable
MORN,MORN,"Morningstar, Inc.",XNAS,CS,True,likely_chartable
EMKR^25,EMKR,Emcore Corp,XNAS,CS,False,likely_chartable
ALKS,ALKS,Alkermes Inc. plc,XNAS,CS,True,likely_chartable
ADVS^15,ADVS,ADVENT SOFTWARE INC,XNAS,,False,likely_chartable
SIGM^20,SIGM,Sigma Designs Inc,XNAS,CS,False,likely_chartable
VSEA^11,VSEA,VARIAM SEMICONDUCTOR EQUIP INC,XNAS,,False,likely_chartable
BLKB,BLKB,"Blackbaud, Inc.",XNAS,CS,True,likely_chartable
ALXN^21,ALXN,Alexion Pharmaceuticals Inc,XNAS,CS,False,likely_chartable
ARNA^22,ARNA,Arena Pharmaceuticals Inc,XNAS,CS,False,likely_chartable
