ticker,revised_ticker,name,primary_exchange,type,active,chartability
ACOM.3^12,ACOM,Harbor Active Commodity ETF,ARCX,ETF,True,low_confidence
ADPI^12,ADPI,AMERICAN DENTAL PARTNERS INC,,,False,low_confidence
AFFY,AFFY,AFFYMAX INC,OTC Link,CS,True,low_confidence
AIPC^10,AIPC,AMERICAN ITALIAN PASTA CL-A,,,False,low_confidence
ALD.1^10,ALD,WisdomTree Asia Local Debt Fund,ARCX,ETF,False,low_confidence
AMPE,AMPE,AMPIO PHARMS INC,OTC Link,CS,True,low_confidence
ANST^08,ANST,ANSOFT CORP,,,False,low_confidence
ANTH,ANTH,ANTHERA PHARMS INC NEW,OTC Link,CS,True,low_confidence
ARIA.1^17,ARIA,Aria Opportunities ETF,ARCX,ETF,True,low_confidence
ASIA.1^14,ASIA,Matthews Pacific Tiger Active ETF,ARCX,ETF,True,low_confidence
ASTX.1^13,ASTX,Tradr 2X Long ASTS Daily ETF,BATS,ETF,True,low_confidence
ASVI^08,ASVI,A S V INC,,,False,low_confidence
AXYS^09,AXYS,AXSYS TECHNOLOGIES INC,,,False,low_confidence
BBIG,BBIG,VINCO VENTURES INC,OTC Link,CS,True,low_confidence
BCAB,BCAB,BIOATLA INC,OTC Link,CS,True,low_confidence
BITA.1^20,BITA,The iShares Bitcoin Premium Income ETF Shares of Fractional Undivided Beneficial Interest,XNAS,ETF,True,low_confidence
CLDA^11,CLDA,CLINICAL DATA INC,,,False,low_confidence
CLVR,CLVR,CLEVER LEAVES HLDGS INC,OTC Link,CS,True,low_confidence
CNXT.1^11,CNXT,VanEck ChiNext Innovators ETF,ARCX,ETF,True,low_confidence
CSH.1^16,CSH,Morgan Creek - Exos Active SPAC Arbitrage ETF,ARCX,ETF,False,low_confidence
CVTX^09,CVTX,CV THERAPEUTICS INC,,,False,low_confidence
CYCL.1^09,CYCL,CYCCLONE INC,OTC Link,CS,True,low_confidence
DICE^23,DICE,Tema Trading & Prediction Markets ETF,BATS,ETF,True,low_confidence
