ticker,revised_ticker,first_qualifying_date,last_qualifying_date,mktcap_bucket,bucket_population,best_rank_in_bucket,worst_rank_in_bucket,num_hh_flagpoles,hh_dates,hh_confirmed_dates,suggested_resistances,latest_suggested_resistance,is_valid_flag,resistance_override,status,streak_still_active
AA,AA,2020-06-12,2020-06-23,,,,,0.0,,,,,,,no_pivot_yet,False
AA,AA,2021-03-03,2021-03-22,mid,103.0,8.0,15.0,3.0,2021-03-31; 2021-04-19; 2021-04-27,2021-04-05; 2021-04-21; 2021-04-29,34.29; 36.54; 37.7,37.7,,,OK,
AA,AA,2021-03-29,2021-03-31,mid,76.0,6.0,9.0,1.0,2021-05-10,2021-05-12,44.42,44.42,,,OK,
AA,AA,2021-04-20,2021-04-22,,,,,0.0,,,,,,,no_pivot_yet,False
AA,AA,2021-05-12,2021-05-13,,,,,0.0,,,,,,,no_pivot_yet,False
AA,AA,2022-01-21,2022-01-26,large_plus,8.0,4.0,6.0,2.0,2022-02-22; 2022-03-07,2022-02-24; 2022-03-09,80.08; 92.32,92.32,,,OK,
AA,AA,2022-02-08,2022-02-11,,,,,0.0,,,,,,,no_pivot_yet,False
AA,AA,2022-02-22,2022-03-10,large_plus,8.0,1.0,11.0,1.0,2022-03-25,2022-03-29,98.09,98.09,,,OK,
AA,AA,2022-03-23,2022-04-04,,,,,0.0,,,,,,,no_pivot_yet,False
AA,AA,2026-03-11,2026-03-19,large_plus,24.0,10.0,14.0,1.0,2026-04-09,2026-04-13,75.6999,75.6999,,,OK,
AAAP.1^18,AAAP,2017-09-27,2017-10-02,mid,7.0,2.0,4.0,3.0,2017-10-02; 2017-10-09; 2017-11-01,2017-10-04; 2017-10-11; 2017-11-03,68.0; 71.0; 81.5,81.5,,,OK,
AABA^19,AABA,2007-11-06,2007-11-08,,,,,0.0,,,,,,,no_pivot_yet,False
AABA^19,AABA,2009-02-20,2009-02-23,,,,,0.0,,,,,,,no_pivot_yet,False
AACG,AACG,2019-04-15,2019-04-26,,,,,0.0,,,,,,,no_pivot_yet,False
AACG,AACG,2021-02-08,2021-02-26,small,270.0,3.0,9.0,2.0,2021-02-04; 2021-03-22,2021-02-08; 2021-03-24,19.75; 6.06,6.06,,,OK,
AACH^20,AACH,2015-09-25,2015-10-02,,,,,0.0,,,,,,,no_daily_bars,False
AAI^11,AAI,2008-02-05,2008-02-08,small,58.0,7.0,16.0,2.0,2008-02-01; 2008-02-11,2008-02-05; 2008-02-13,9.1; 9.13,9.13,,,OK,
AAI^11,AAI,2008-08-05,2008-08-20,small,89.0,7.0,16.0,2.0,2008-08-11; 2008-09-16,2008-08-13; 2008-09-18,3.69; 3.21,3.21,,,OK,
AAI^11,AAI,2008-11-04,2008-11-18,small,10.0,2.0,5.0,2.0,2008-11-03; 2008-12-09,2008-11-05; 2008-12-11,4.42; 3.95,3.95,,,OK,
AAI^11,AAI,2009-03-31,2009-04-07,small,111.0,3.0,15.0,4.0,2009-03-27; 2009-04-14; 2009-04-23; 2009-05-05,2009-03-31; 2009-04-16; 2009-04-27; 2009-05-07,4.93; 5.67; 7.64; 8.68,8.68,,,OK,
AAI^11,AAI,2009-04-22,2009-04-23,,,,,0.0,,,,,,,no_pivot_yet,False
AAI^11,AAI,2009-07-13,2009-07-16,small,38.0,7.0,11.0,3.0,2009-07-16; 2009-07-30; 2009-08-26,2009-07-20; 2009-08-03; 2009-08-28,6.66; 7.47; 7.07,7.07,,,OK,
AAL,AAL,2020-06-05,2020-06-23,mid,132.0,3.0,16.0,1.0,2020-06-05,2020-06-09,22.8,22.8,,,OK,
AAL,AAL,2020-12-14,2020-12-17,large_plus,31.0,9.0,16.0,1.0,2021-01-14,2021-01-19,16.6,16.6,,,OK,
AAL,AAL,2021-03-04,2021-03-31,large_plus,34.0,3.0,13.0,1.0,2021-03-18,2021-03-22,26.09,26.09,,,OK,
AAMRQ^13,AAMRQ,2005-04-14,2005-04-21,,,,,0.0,,,,,,,no_daily_bars,False
AAMRQ^13,AAMRQ,2006-09-27,2006-09-29,,,,,0.0,,,,,,,no_daily_bars,False
AAMRQ^13,AAMRQ,2008-02-22,2008-02-26,,,,,0.0,,,,,,,no_daily_bars,False
AAMRQ^13,AAMRQ,2008-07-29,2008-08-26,,,,,0.0,,,,,,,no_daily_bars,False
AAMRQ^13,AAMRQ,2009-09-18,2009-10-06,,,,,0.0,,,,,,,no_daily_bars,False
AAMRQ^13,AAMRQ,2010-01-21,2010-01-27,,,,,0.0,,,,,,,no_daily_bars,False
AAMRQ^13,AAMRQ,2013-01-14,2013-02-01,,,,,0.0,,,,,,,no_daily_bars,False
AAMRQ^13,AAMRQ,2013-02-14,2013-03-11,,,,,0.0,,,,,,,no_daily_bars,False
AAMRQ^13,AAMRQ,2013-03-15,2013-04-05,,,,,0.0,,,,,,,no_daily_bars,False
AAMRQ^13,AAMRQ,2013-04-23,2013-05-01,,,,,0.0,,,,,,,no_daily_bars,False
AAMRQ^13,AAMRQ,2013-05-17,2013-05-30,,,,,0.0,,,,,,,no_daily_bars,False
AAMRQ^13,AAMRQ,2013-07-24,2013-07-29,,,,,0.0,,,,,,,no_daily_bars,False
AAMRQ^13,AAMRQ,2013-10-04,2013-10-21,,,,,0.0,,,,,,,no_daily_bars,False
AAMRQ^13,AAMRQ,2013-10-25,2013-12-02,,,,,0.0,,,,,,,no_daily_bars,False
AAN.2^10,AAN,2008-11-24,2008-11-28,,,,,0.0,,,,,,,no_pivot_yet,False
AAOI,AAOI,2017-01-20,2017-02-01,small,24.0,7.0,12.0,5.0,2017-01-18; 2017-02-06; 2017-02-14; 2017-02-21; 2017-03-07,2017-01-20; 2017-02-08; 2017-02-16; 2017-02-23; 2017-03-09,31.61; 32.79; 36.7; 38.89; 56.14,56.14,,,OK,
