ticker,revised_ticker,streak_start,streak_end,streak_still_active,hh_date,hh_price,pivot_kind,pivot_date,confirmed_date,suggested_resistance,matched_qualifying_date,is_valid_flag,resistance_override,status
AA,AA,,,,2022-01-12,64.37,LH,2022-01-20,2022-01-24,64.25,2022-02-23,,,OK
AA,AA,,,,2022-01-12,64.37,LH,2022-01-26,2022-01-28,63.64,2022-02-23,,,OK
AA,AA,,,,2022-01-12,64.37,HL,2022-01-31,2022-02-02,63.64,2022-02-23,,,OK
AA,AA,,,,2022-02-22,80.08,HL,2022-02-24,2022-02-28,80.08,2022-02-23,,,OK
AACG,AACG,,,,2021-01-20,1.51,HL,2021-01-27,2021-01-29,1.51,2021-02-08,,,OK
AACG,AACG,,,,2021-01-20,1.51,LH,2021-01-29,2021-02-02,1.42,2021-02-08,,,OK
AACG,AACG,,,,2021-02-04,19.75,HL,2021-02-11,2021-02-16,19.75,2021-02-08,,,OK
AACG,AACG,,,,2021-02-04,19.75,LH,2021-02-17,2021-02-19,6.36,2021-02-08,,,OK
AACG,AACG,,,,2021-02-04,19.75,LH,2021-02-26,2021-03-02,5.64,2021-02-08,,,OK
AAI^11,AAI,,,,2008-07-30,3.49,HL,2008-08-04,2008-08-06,3.49,2008-07-30,,,OK
AAI^11,AAI,,,,2008-07-30,3.49,LH,2008-08-05,2008-08-07,3.41,2008-07-30,,,OK
AAI^11,AAI,,,,2008-07-30,3.49,HL,2008-08-07,2008-08-11,3.41,2008-07-30,,,OK
AAI^11,AAI,,,,2008-08-11,3.69,HL,2008-08-13,2008-08-15,3.69,2008-08-12,,,OK
AAI^11,AAI,,,,2008-08-11,3.69,LH,2008-09-02,2008-09-04,3.05,2008-08-12,,,OK
AAI^11,AAI,,,,2008-08-11,3.69,HL,2008-09-08,2008-09-10,3.05,2008-08-12,,,OK
AAI^11,AAI,,,,2008-08-11,3.69,LH,2008-09-09,2008-09-11,3.0,2008-08-12,,,OK
AAI^11,AAI,,,,2008-09-16,3.21,HL,2008-09-17,2008-09-19,3.21,2008-08-15,,,OK
AAI^11,AAI,,,,2008-09-16,3.21,LH,2008-10-02,2008-10-06,2.81,2008-08-15,,,OK
AAI^11,AAI,,,,2008-10-22,3.49,HL,2008-10-24,2008-10-28,3.49,2008-11-04,,,OK
