ticker,revised_ticker,matched_qualifying_date,streak_start,streak_end,streak_still_active,hh_date,hh_price,pivot_kind,pivot_date,confirmed_date,suggested_resistance,first_qualifying_date,is_valid_flag,resistance_override,status
AA,AA,2/23/2022,,,,2/22/2022,80.08,HL,2/24/2022,2/28/2022,80.08,2/23/2022,,,OK
AACG,AACG,2/16/2021,,,,2/4/2021,19.75,HL,2/11/2021,2/16/2021,19.75,2/8/2021,,,OK
AACG,AACG,2/19/2021,,,,2/4/2021,19.75,LH,2/17/2021,2/19/2021,6.36,2/8/2021,,,OK
AACG,AACG,3/2/2021,,,,2/4/2021,19.75,LH,2/26/2021,3/2/2021,5.64,2/8/2021,,,OK
AAI^11,AAI,8/4/2008,,,,7/30/2008,3.49,HL,8/4/2008,8/6/2008,3.49,7/29/2008,,,OK
AAI^11,AAI,8/4/2008,,,,7/30/2008,3.49,LH,8/5/2008,8/7/2008,3.41,7/29/2008,,,OK
AAI^11,AAI,8/4/2008,,,,7/30/2008,3.49,HL,8/7/2008,8/11/2008,3.41,7/29/2008,,,OK
AAI^11,AAI,8/15/2008,,,,8/11/2008,3.69,HL,8/13/2008,8/15/2008,3.69,7/29/2008,,,OK
AAI^11,AAI,8/15/2008,,,,8/11/2008,3.69,LH,9/2/2008,9/4/2008,3.05,7/29/2008,,,OK
AAI^11,AAI,8/15/2008,,,,8/11/2008,3.69,HL,9/8/2008,9/10/2008,3.05,7/29/2008,,,OK
AAI^11,AAI,8/15/2008,,,,8/11/2008,3.69,LH,9/9/2008,9/11/2008,3,7/29/2008,,,OK
AAI^11,AAI,8/15/2008,,,,9/16/2008,3.21,HL,9/17/2008,9/19/2008,3.21,8/12/2008,,,OK
AAI^11,AAI,11/6/2008,,,,11/3/2008,4.42,HL,11/4/2008,11/6/2008,4.42,11/4/2008,,,OK
AAI^11,AAI,11/13/2008,,,,11/3/2008,4.42,HL,11/13/2008,11/17/2008,4.42,11/4/2008,,,OK
AAI^11,AAI,11/18/2008,,,,11/3/2008,4.42,LH,11/19/2008,11/21/2008,3.93,11/4/2008,,,OK
AAI^11,AAI,11/18/2008,,,,11/3/2008,4.42,LH,11/28/2008,12/2/2008,3.45,11/4/2008,,,OK
AAI^11,AAI,11/18/2008,,,,11/3/2008,4.42,HL,12/2/2008,12/4/2008,3.45,11/4/2008,,,OK
AAI^11,AAI,11/18/2008,,,,12/9/2008,3.95,HL,12/12/2008,12/16/2008,3.95,11/4/2008,,,OK
AAI^11,AAI,4/1/2009,,,,3/27/2009,4.93,HL,3/30/2009,4/1/2009,4.93,4/1/2009,,,OK
AAMRQ^13,AAMRQ,,7/18/2008,8/18/2008,FALSE,,,,,,,,,,no_daily_bars
AAMRQ^13,AAMRQ,,10/17/2008,10/22/2008,FALSE,,,,,,,,,,no_daily_bars
AAMRQ^13,AAMRQ,,11/5/2008,11/7/2008,FALSE,,,,,,,,,,no_daily_bars
