ticker,revised_ticker,first_qualifying_date,last_qualifying_date,mktcap_bucket,bucket_population,rank_on_first_qualifying_date,best_rank_in_bucket,worst_rank_in_bucket,num_hh_flagpoles,hh_dates,hh_confirmed_dates,suggested_resistances,latest_suggested_resistance,is_valid_flag,resistance_override,status,streak_still_active
AA,AA,2021-04-01,2021-05-18,mid,39.0,14.0,7.0,16.0,4.0,2021-03-31; 2021-04-19; 2021-04-27; 2021-05-10,2021-04-05; 2021-04-21; 2021-04-29; 2021-05-12,34.29; 36.54; 37.7; 44.42,44.42,,,OK,
AA,AA,2021-08-19,2021-09-21,mid,34.0,8.0,8.0,10.0,3.0,2021-09-07; 2021-09-28; 2021-10-18,2021-09-09; 2021-09-30; 2021-10-20,48.39; 52.45; 57.57,57.57,,,OK,
AA,AA,2022-01-21,2022-04-11,large_plus,8.0,1.0,1.0,13.0,3.0,2022-02-22; 2022-03-07; 2022-03-25,2022-02-24; 2022-03-09; 2022-03-29,80.08; 92.32; 98.09,98.09,,,OK,
AA,AA,2026-03-06,2026-03-23,large_plus,41.0,12.0,2.0,12.0,2.0,2026-03-04; 2026-04-09,2026-03-06; 2026-04-13,68.4; 75.6999,75.6999,,,OK,
AAAP.1^18,AAAP,2017-09-27,2017-10-02,mid,7.0,4.0,4.0,6.0,3.0,2017-10-02; 2017-10-09; 2017-11-01,2017-10-04; 2017-10-11; 2017-11-03,68.0; 71.0; 81.5,81.5,,,OK,
AABA^19,AABA,2007-11-06,2007-11-08,,,,,,0.0,,,,,,,no_pivot_yet,False
AABA^19,AABA,2009-02-19,2009-02-23,,,,,,0.0,,,,,,,no_pivot_yet,False
AACG,AACG,2019-04-15,2019-05-21,small,23.0,2.0,2.0,5.0,2.0,2019-06-20; 2019-06-28,2019-06-24; 2019-07-02,2.9332; 3.24,3.24,,,OK,
AACH^20,AACH,2015-09-29,2015-10-02,,,,,,0.0,,,,,,,no_daily_bars,False
AAI^11,AAI,2008-11-04,2008-11-18,small,10.0,7.0,7.0,16.0,2.0,2008-11-03; 2008-12-09,2008-11-05; 2008-12-11,4.42; 3.95,3.95,,,OK,
AAI^11,AAI,2009-03-31,2009-05-04,small,111.0,2.0,1.0,14.0,4.0,2009-03-27; 2009-04-14; 2009-04-23; 2009-05-05,2009-03-31; 2009-04-16; 2009-04-27; 2009-05-07,4.93; 5.67; 7.64; 8.68,8.68,,,OK,
