ticker,chart_symbol,former_symbols,windows,n_windows,start,end,days,mktcap_bucket,best_rank,num_flagpoles,hh_dates,resistances,latest_resistance,is_valid_flag,notes
AA,AA,,1M,1,2020-06-12,2020-06-23,11,mid,7.0,2.0,2020-06-23; 2020-07-17,12.31; 13.86,13.86,,
AA,AA,,3M,1,2020-08-12,2020-08-24,12,mid,11.0,1.0,2020-08-19,15.95,15.95,,
AA,AA,,1M+3M+6M,3,2021-03-03,2021-05-21,79,mid,2.0,5.0,2021-03-11; 2021-03-31; 2021-04-19; 2021-04-27; 2021-05-10,32.8717; 34.29; 36.54; 37.7; 44.42,44.42,,
AA,AA,,6M,1,2021-08-19,2021-09-21,33,mid,8.0,3.0,2021-09-07; 2021-09-28; 2021-10-18,48.39; 52.45; 57.57,57.57,,
AA,AA,,1M+3M+6M,3,2022-01-21,2022-04-11,80,large_plus,1.0,3.0,2022-02-22; 2022-03-07; 2022-03-25,80.08; 92.32; 98.09,98.09,,
AA,AA,,1M+3M+6M,3,2026-02-19,2026-03-23,32,large_plus,2.0,3.0,2026-02-25; 2026-03-04; 2026-04-09,66.22; 68.4; 75.6999,75.6999,,
AAAP.1^18,AAAP,,1M+3M+6M,3,2017-09-27,2017-10-02,5,mid,1.0,3.0,2017-10-02; 2017-10-09; 2017-11-01,68.0; 71.0; 81.5,81.5,,
AACG,AACG,,3M+6M,2,2019-04-15,2019-05-21,36,small,1.0,2.0,2019-06-20; 2019-06-28,2.9332; 3.24,3.24,,
AACG,AACG,,1M,1,2021-02-08,2021-02-26,18,small,3.0,2.0,2021-02-04; 2021-03-22,19.75; 6.06,6.06,,
AAI^11,AAI,,1M,1,2008-02-05,2008-02-08,3,small,7.0,2.0,2008-02-01; 2008-02-11,9.1; 9.13,9.13,,
AAI^11,AAI,,1M,1,2008-08-05,2008-08-20,15,small,7.0,2.0,2008-08-11; 2008-09-16,3.69; 3.21,3.21,,
AAI^11,AAI,,1M+3M+6M,3,2008-11-04,2008-11-18,14,small,2.0,2.0,2008-11-03; 2008-12-09,4.42; 3.95,3.95,,
AAI^11,AAI,,1M+6M,2,2009-03-31,2009-05-04,34,small,1.0,4.0,2009-03-27; 2009-04-14; 2009-04-23; 2009-05-05,4.93; 5.67; 7.64; 8.68,8.68,,
AAI^11,AAI,,1M,1,2009-07-13,2009-07-16,3,small,7.0,3.0,2009-07-16; 2009-07-30; 2009-08-26,6.66; 7.47; 7.07,7.07,,
AAL,AAL,,1M,1,2020-06-05,2020-06-23,18,mid,3.0,1.0,2020-06-05,22.8,22.8,,
AAL,AAL,,1M,1,2020-12-14,2020-12-17,3,large_plus,9.0,1.0,2021-01-14,16.6,16.6,,
AAL,AAL,,1M+3M+6M,3,2021-03-04,2021-03-31,27,large_plus,2.0,1.0,2021-03-18,26.09,26.09,,
AAOI,AAOI,,3M+6M,2,2015-09-11,2015-09-16,5,small,7.0,2.0,2015-09-09; 2015-10-28,22.4; 21.59,21.59,,
AAOI,AAOI,,3M+6M,2,2016-11-22,2016-11-28,6,small,3.0,1.0,2016-11-21,27.28,27.28,,
AAOI,AAOI,,1M+3M+6M,3,2017-01-20,2017-08-08,200,small,1.0,12.0,2017-01-18; 2017-02-06; 2017-02-14; 2017-02-21; 2017-03-07; 2017-03-27; 2017-05-01; 2017-05-12; 2017-05-23; 2017-06-06; 2017-07-27; 2017-09-19,31.61; 32.79; 36.7; 38.89; 56.14; 60.19; 52.1; 67.01; 71.7; 75.59; 103.41; 71.29,71.29,,
AAOI,AAOI,,1M+3M+6M,3,2018-04-24,2018-07-23,90,small,3.0,6.0,2018-04-27; 2018-05-08; 2018-06-04; 2018-07-13; 2018-08-08; 2018-08-29,34.52; 35.7399; 49.75; 50.3; 46.0; 43.95,43.95,,
AAOI,AAOI,,1M+3M,2,2022-09-16,2022-10-27,41,small,6.0,4.0,2022-09-20; 2022-10-06; 2022-10-27; 2022-12-05,4.0; 3.115; 3.0; 2.44,2.44,,
AAOI,AAOI,,1M+3M+6M,3,2023-07-06,2023-09-05,61,small,1.0,4.0,2023-07-13; 2023-08-15; 2023-08-24; 2023-10-02,11.48; 15.9; 16.26; 11.68,11.68,,
AAOI,AAOI,,1M+3M+6M,3,2023-11-16,2024-01-03,48,small,1.0,3.0,2023-11-20; 2023-12-19; 2024-02-06,14.63; 24.08; 20.64,20.64,,
AAOI,AAOI,,1M+3M+6M,3,2024-09-04,2024-12-16,103,small,4.0,4.0,2024-10-18; 2024-11-25; 2024-12-04; 2024-12-26,20.34; 39.61; 44.5; 41.27,41.27,,
AAOI,AAOI,,1M,1,2025-05-19,2025-05-20,1,small,16.0,1.0,2025-06-26,28.01,28.01,,
AAOI,AAOI,,1M+3M+6M,3,2025-12-22,2026-06-17,177,mid,1.0,10.0,2025-12-23; 2026-01-22; 2026-02-02; 2026-02-11; 2026-03-11; 2026-04-13; 2026-04-21; 2026-05-01; 2026-05-13; 2026-06-04,41.96; 41.39; 49.11; 50.8; 128.96; 155.4; 173.4099; 191.87; 233.67; 209.64,209.64,,
AAON,AAON,,1M,1,2026-05-08,2026-06-05,28,mid,12.0,3.0,2026-05-07; 2026-05-27; 2026-06-03,149.0; 145.87; 150.4599,150.4599,,
AAP,AAP,,1M+3M+6M,3,2025-05-29,2025-06-11,13,mid,6.0,3.0,2025-05-29; 2025-06-11; 2025-07-11,53.1299; 53.5999; 63.26,63.26,,
AAP,AAP,,3M,1,2025-07-29,2025-07-30,1,mid,16.0,1.0,2025-09-08,61.55,61.55,,
AAP,AAP,,1M,1,2026-02-12,2026-02-20,8,mid,10.0,3.0,2026-02-13; 2026-03-12; 2026-04-01,65.1999; 54.56; 54.49,54.49,,
AAWW^23,AAWW,,1M+3M+6M,3,2011-12-01,2011-12-12,11,small,7.0,3.0,2011-11-30; 2012-01-03; 2012-01-11,42.27; 39.87; 41.99,41.99,,
AAWW^23,AAWW,,6M,1,2016-05-10,2016-05-24,14,small,9.0,1.0,2016-06-09,47.24,47.24,,
ABAT,ABAT,,1M+3M+6M,3,2021-01-04,2021-02-19,46,small,1.0,1.0,2021-01-25,4.9,4.9,,
ABAT,ABAT,,1M,1,2024-12-26,2025-01-16,21,small,9.0,1.0,2024-12-27,4.11,4.11,,
ABAT,ABAT,,1M,1,2025-07-24,2025-07-29,5,small,5.0,2.0,2025-07-25; 2025-08-15,3.89; 2.87,2.87,,
ABAT,ABAT,,1M+3M+6M,3,2025-09-22,2025-10-24,32,small,4.0,1.0,2025-10-15,11.49,11.49,,
