ticker,chart_symbol,former_symbols,n_streaks,first_seen,last_seen,streak_spans,windows_per_streak,any_triple,mktcap_bucket,best_rank,total_flagpoles,data_warning,reviewed,notes
AA,AA,,6,2020-06-12,2026-03-23,2020-06-12..2020-06-23; 2020-08-12..2020-08-24; 2021-03-03..2021-05-21; 2021-08-19..2021-09-21; 2022-01-21..2022-04-11; 2026-02-19..2026-03-23,1M; 3M; 1M+3M+6M; 6M; 1M+3M+6M; 1M+3M+6M,True,mid,1,17,,,
AAAP.1^18,AAAP,,1,2017-09-27,2017-10-02,2017-09-27..2017-10-02,1M+3M+6M,True,mid,1,3,,,
AACG,AACG,,2,2019-04-15,2021-02-26,2019-04-15..2019-05-21; 2021-02-08..2021-02-26,3M+6M; 1M,False,small,1,4,,,
AAI^11,AAI,,5,2008-02-05,2009-07-16,2008-02-05..2008-02-08; 2008-08-05..2008-08-20; 2008-11-04..2008-11-18; 2009-03-31..2009-05-04; 2009-07-13..2009-07-16,1M; 1M; 1M+3M+6M; 1M+6M; 1M,True,small,1,13,,,
AAL,AAL,,3,2020-06-05,2021-03-31,2020-06-05..2020-06-23; 2020-12-14..2020-12-17; 2021-03-04..2021-03-31,1M; 1M; 1M+3M+6M,True,large_plus,2,3,,,
AAOI,AAOI,,10,2015-09-11,2026-06-17,2015-09-11..2015-09-16; 2016-11-22..2016-11-28; 2017-01-20..2017-08-08; 2018-04-24..2018-07-23; 2022-09-16..2022-10-27; 2023-07-06..2023-09-05; 2023-11-16..2024-01-03; 2024-09-04..2024-12-16; 2025-05-19..2025-05-20; 2025-12-22..2026-06-17,3M+6M; 3M+6M; 1M+3M+6M; 1M+3M+6M; 1M+3M; 1M+3M+6M; 1M+3M+6M; 1M+3M+6M; 1M; 1M+3M+6M,True,small,1,47,,,
AAON,AAON,,1,2026-05-08,2026-06-05,2026-05-08..2026-06-05,1M,False,mid,12,3,,,
AAP,AAP,,3,2025-05-29,2026-02-20,2025-05-29..2025-06-11; 2025-07-29..2025-07-30; 2026-02-12..2026-02-20,1M+3M+6M; 3M; 1M,True,mid,6,7,,,
AAWW^23,AAWW,,2,2011-12-01,2016-05-24,2011-12-01..2011-12-12; 2016-05-10..2016-05-24,1M+3M+6M; 6M,True,small,7,4,,,
ABAT,ABAT,,4,2021-01-04,2025-10-24,2021-01-04..2021-02-19; 2024-12-26..2025-01-16; 2025-07-24..2025-07-29; 2025-09-22..2025-10-24,1M+3M+6M; 1M; 1M; 1M+3M+6M,True,small,1,5,,,
ABBNY,ABBNY,,1,2008-12-18,2008-12-19,2008-12-18..2008-12-19,1M,False,large_plus,7,1,,,
ABBV,ABBV,,1,2018-02-09,2018-02-14,2018-02-09..2018-02-14,1M+3M+6M,True,large_plus,3,2,,,
ABCL,ABCL,,5,2021-09-22,2026-09-09,2021-09-22..2021-09-24; 2022-06-13..2022-08-15; 2022-11-02..2022-12-02; 2026-07-02..2026-07-09; 2026-08-14..2026-09-09,1M; 1M+3M; 1M+6M; 3M; 1M+3M+6M,True,mid,1,10,,,
ABEO,ABEO,,5,2015-05-05,2025-05-05,2015-05-05..2015-06-02; 2017-09-07..2017-10-31; 2018-01-04..2018-01-05; 2018-03-21..2018-05-22; 2025-05-02..2025-05-05,1M+3M+6M; 1M+3M+6M; 6M; 1M+3M+6M; 1M,True,small,1,11,,,
ABG,ABG,,1,2022-05-10,2022-05-20,2022-05-10..2022-05-20,1M+3M,False,mid,3,1,,,
ABLE,ABLE,,1,2005-06-06,2005-06-10,2005-06-06..2005-06-10,1M+3M+6M,True,small,1,1,,,
ABMD^22,ABMD,,3,2012-02-09,2018-10-11,2012-02-09..2012-02-23; 2015-08-21..2015-08-31; 2018-10-10..2018-10-11,1M+6M; 1M+3M+6M; 1M+3M+6M,True,large_plus,1,6,,,
ABNB,ABNB,,3,2021-02-08,2022-03-01,2021-02-08..2021-02-22; 2021-11-26..2021-11-29; 2022-02-24..2022-03-01,1M; 3M+6M; 1M+3M+6M,True,large_plus,5,6,,,
ABOS,ABOS,,2,2022-09-30,2023-08-07,2022-09-30..2022-10-20; 2023-07-17..2023-08-07,1M+3M+6M; 1M+3M,True,small,2,3,,,
ABSI,ABSI,,2,2025-02-03,2026-07-17,2025-02-03..2025-02-20; 2026-04-08..2026-07-17,1M; 1M+3M+6M,True,small,4,6,,,
ABTC,ABTC,,3,2025-05-19,2026-09-21,2025-05-19..2025-06-05; 2025-07-18..2025-09-23; 2026-08-25..2026-09-21,1M+3M; 3M+6M; 1M,False,small,1,4,,,
ABTS,ABTS,,1,2021-04-05,2021-07-26,2021-04-05..2021-07-26,1M+3M+6M,True,small,1,4,,,
ABUS,ABUS,,3,2014-08-12,2020-08-07,2014-08-12..2014-10-16; 2015-01-13..2015-02-09; 2020-07-23..2020-08-07,1M+3M+6M; 1M+3M+6M; 1M+3M,True,small,1,11,,,
ABVC,ABVC,,1,2021-11-02,2021-11-10,2021-11-02..2021-11-10,1M,False,small,8,2,,,
ABVEF,ABVEF,,2,2025-07-15,2025-10-30,2025-07-15..2025-08-27; 2025-10-08..2025-10-30,6M; 1M+3M+6M,True,small,1,3,,,
ABVX,ABVX,,2,2025-08-06,2026-01-12,2025-08-06..2025-08-15; 2025-11-13..2026-01-12,1M+3M+6M; 1M+3M+6M,True,mid,1,5,,,
