date,ticker,adr14,adv30,mktcap,ret_1m,sma10_rising_diff,sma20_rising_diff,qualifies_1m
2005-01-03,AKS^20,5.78,32259800.24,1573.99,0.08,2.06,2.5,True
2005-01-03,ANTP^13,10.61,37813705.25,110.34,3.64,20.09,17.97,True
2005-01-03,BWNG^07,7.02,13883265.53,552.99,0.19,1.62,2.27,True
2005-01-03,ID.2^11,5.96,12499385.15,426.71,0.14,0.82,1.3,True
2005-01-03,ISON,8.82,30664351.4,141.95,0.28,0.84,0.92,True
2005-01-03,JOBS^22,6.95,35037666.79,1392.64,0.29,5.49,13.84,True
2005-01-03,KKD^16,5.17,30129140.2,772.2,0.17,1.64,0.18,True
2005-01-03,MECK^18,5.82,14034342.33,760.35,0.17,1.65,2.57,True
2005-01-03,MSO^15,6.48,57763333.09,1443.51,0.27,2.24,7.41,True
2005-01-03,NGEN.1^14,7.2,21778631.29,249.36,0.28,0.28,2.62,True
2005-01-03,NGPS^07,7.47,26502299.28,358.23,0.89,12.56,15.58,True
2005-01-03,OS.1^07,5.1,14807387.92,541.7,0.13,3.0,2.55,True
2005-01-03,OWC^06,11.88,10685304.04,260.11,0.03,0.47,1.2,True
2005-01-03,SNDA.^12,5.42,42479858.34,2967.75,0.03,0.7,2.38,True
2005-01-03,TZOO,6.53,171249922.61,1549.13,0.08,7.05,2.58,True
2005-01-03,ZEUS^26,6.75,11711180.81,264.19,0.01,3.37,4.55,True
2005-01-04,AKS^20,6.11,33513919.8,1573.99,0.13,1.69,2.36,True
2005-01-04,ANTP^13,12.55,40176018.55,110.34,3.31,20.46,19.3,True
2005-01-04,APPX.1^08,5.37,35925538.25,2638.22,0.09,2.74,6.47,True
2005-01-04,BWNG^07,8.21,14218319.6,552.99,0.03,1.35,2.24,True
2005-01-04,CIEN,5.53,48968823.76,1909.33,0.23,0.5,0.51,True
2005-01-04,CRAY^19,5.53,10512220.83,397.92,0.09,0.51,0.82,True
2005-01-04,ID.2^11,5.91,12665027.01,426.71,0.07,0.9,1.3,True
2005-01-04,ISON,9.91,30865008.08,141.95,0.22,0.67,0.86,True
2005-01-04,JOBS^22,7.27,36921167.38,1392.64,0.27,4.11,13.97,True
2005-01-04,MECK^18,5.93,13746072.32,760.35,0.14,1.97,2.68,True
2005-01-04,MSO^15,6.18,58037070.13,1443.51,0.25,2.29,7.45,True
2005-01-04,NGPS^07,11.68,30815423.68,358.23,0.55,12.06,15.37,True
2005-01-04,OS.1^07,5.02,15131989.01,541.7,0.2,2.48,2.61,True
2005-01-04,OWC^06,11.49,10599862.67,260.11,0.17,0.56,1.14,True
2005-01-04,STCN^25,7.76,41855477.49,1215.53,0.43,0.02,0.74,True
2005-01-04,WNDXQ^06,5.23,12809332.12,646.19,0.08,0.17,0.49,True
2005-01-05,AKS^20,6.15,34036435.57,1573.99,0.0,1.06,2.31,True
2005-01-05,ANTP^13,17.44,42457785.76,110.34,2.44,19.85,20.16,True
2005-01-05,APPX.1^08,5.29,36886684.68,2638.22,0.07,1.31,6.51,True
2005-01-05,BWNG^07,7.61,14169984.23,552.99,0.0,1.03,2.22,True
2005-01-05,CIEN,5.93,49886903.51,1909.33,0.22,0.48,0.55,True
2005-01-05,CRAY^19,5.79,10812549.67,397.92,0.09,0.38,0.8,True
2005-01-05,ID.2^11,6.54,12840025.95,426.71,0.04,0.92,1.25,True
2005-01-05,ISON,9.19,34908127.62,141.95,0.29,0.66,0.9,True
