date,ticker,adr14,adv30,mktcap,ret_1m,ret_3m,ret_6m,sma10_rising_diff,sma20_rising_diff
2005-01-03,KR,2.31,51565337.72,12839.28,0.05,0.02,-0.04,0.25,0.79
2005-01-03,VLLY^06,4.54,1429674.15,119.07,0.18,0.61,,5.15,7.96
2005-01-03,FNBB^06,0.0,110.07,20.8,0.03,0.02,0.01,0.45,-0.06
2005-01-03,3ERIF^06,0.05,23921.69,296.26,0.0,-0.01,0.01,0.07,0.12
2005-01-03,CPF,1.61,2601107.89,1013.79,0.02,0.24,0.31,0.66,3.07
2005-01-03,HETC^11,7.9,40705.98,9.07,-0.05,-0.1,-0.3,0.05,-0.02
2005-01-03,LPL,2.38,10108804.72,12745.3,0.0,0.11,,0.64,1.15
2005-01-03,DIT,0.32,7909.07,9.91,-0.01,-0.08,-0.21,0.11,-0.16
2005-01-03,CCRD.1^05,5.33,1006563.02,202.85,0.15,0.17,0.0,1.34,0.49
2005-01-03,BTH^15,1.91,4833413.28,302.26,-0.03,-0.08,-0.15,0.04,-1.17
2005-01-03,QUSA.1^17,2.06,12132.91,8.65,0.08,0.03,0.0,0.15,-0.06
2005-01-03,OSK,1.49,15342800.53,2416.54,0.06,0.14,0.2,3.3,3.51
2005-01-03,COHG,3.66,162658.86,280.3,0.13,0.33,-0.2,0.59,0.6
2005-01-03,XMSR^08,3.12,197862454.79,7701.4,-0.01,0.22,0.3,0.06,3.31
2005-01-03,UNB,0.41,7407.47,109.0,-0.04,0.03,0.02,-0.45,0.21
2005-01-03,HYDI,12.25,15642.65,11.05,0.22,0.5,0.5,0.12,-0.33
2005-01-03,SCHI.1^11,0.34,226178.1,105.23,0.1,0.55,0.49,1.65,4.25
2005-01-03,TOTG^12,2.89,46421.55,23.4,77.0,,,0.94,
2005-01-03,FEECQ^17,6.14,139180.17,74.56,0.01,-0.09,-0.22,-0.07,0.07
2005-01-03,NYM.1^10,1.17,185708.35,246.4,-0.03,0.09,-0.06,0.11,1.82
2005-01-03,MCBI.1^14,1.14,139009.56,159.86,0.04,0.28,0.45,-0.01,1.13
2005-01-03,PLWN,0.0,0.0,710.12,0.0,0.0,-0.1,0.0,0.0
2005-01-03,TSCDY,0.0,2596065.76,47545.21,0.03,0.18,0.3,0.46,1.36
2005-01-03,TPY^05,1.11,32085.5,205.43,0.03,0.25,0.34,-0.09,-0.03
2005-01-03,ATRS.^07,2.67,13074419.5,951.41,0.14,0.1,0.28,3.08,4.9
2005-01-03,NWTLY^16,0.0,0.0,27.79,,,,,
2005-01-03,FHCC^05,1.38,26287543.64,1719.51,0.04,0.16,0.24,0.43,0.99
2005-01-03,ATR,2.05,5097725.97,1887.07,-0.01,0.17,0.24,1.08,2.12
2005-01-03,GCFB,2.9,136263.52,24.07,-0.06,0.15,0.11,-0.08,-0.11
2005-01-03,UGNEQ^19,5.37,791911.06,175.48,0.32,1.34,1.94,0.39,0.54
2005-01-03,ROCM^13,2.45,89183.86,51.15,-0.01,0.02,0.12,-0.19,0.36
2005-01-03,RYL^15,2.61,52411198.05,2721.45,0.09,0.22,0.47,2.8,4.48
2005-01-03,MDWV^16,3.89,40144.71,47.16,0.0,-0.03,-0.16,-0.06,-0.19
2005-01-03,MLM,1.16,11934071.01,2576.96,0.02,0.13,0.2,1.57,2.19
2005-01-03,TZOO,6.53,171249922.61,1549.13,0.08,0.67,2.08,7.05,2.58
2005-01-03,AMRI^17,2.56,1426137.08,353.72,0.02,0.15,-0.11,0.13,0.55
2005-01-03,CALY,2.46,8789539.85,917.63,0.09,0.22,0.16,0.68,1.17
2005-01-03,BRGYY^16,1.5,3262315.46,24357.73,-0.03,0.0,0.07,0.12,0.06
2005-01-03,VRX.1^10,2.29,12869908.51,2216.51,0.05,0.06,0.31,0.78,1.79
2005-01-03,TNC,1.39,1313386.32,356.81,-0.02,-0.04,-0.04,0.79,-1.49
2005-01-03,SMIC^09,0.14,4586.67,159.22,0.05,0.18,-0.26,1.65,-1.06
2005-01-03,HNGKY,0.0,0.0,6082.28,-0.03,0.3,0.55,0.53,0.96
2005-01-03,ZOLT^14,5.28,1882747.4,243.79,0.6,0.65,1.08,3.18,2.42
2005-01-03,BBAO^08,2.89,1795084.75,198.29,-0.14,-0.27,-0.09,0.0,-0.83
2005-01-03,AHMIQ^14,1.26,8109903.02,1376.31,0.02,0.22,0.35,0.14,2.71
2005-01-03,ADC,1.12,559449.36,205.02,0.05,0.13,0.3,0.85,1.91
2005-01-03,CPHD^16,3.53,2250405.33,417.55,0.03,0.11,-0.09,0.12,0.74
2005-01-03,EUBK^14,3.18,796884.45,409.47,0.03,0.14,,-0.22,0.91
2005-01-03,SSINQ^20,2.08,10697673.22,743.71,-0.01,0.18,0.12,0.75,1.8
2005-01-03,3POHF^06,0.25,12107.03,29.77,-0.04,-0.03,-0.01,-0.1,-0.12
2005-01-03,DRTE^07,2.96,4301637.04,808.19,0.08,0.12,0.02,1.25,1.96
2005-01-03,LIVN,4.07,8951272.58,494.62,0.01,0.09,-0.36,0.98,0.41
2005-01-03,HSH^14,1.42,42762618.17,18945.39,0.02,0.04,0.05,0.1,0.33
2005-01-03,RCKY,2.53,1258463.34,137.68,0.4,0.63,0.28,2.08,7.11
2005-01-03,AMTCQ^22,4.77,10655.42,12.01,0.15,0.16,0.18,0.19,0.59
2005-01-03,AIRM^17,2.47,196111.14,93.98,0.13,0.25,-0.03,0.46,0.64
2005-01-03,NCFT.1^12,1.46,21139.21,51.32,0.11,0.4,0.4,0.69,-1.07
2005-01-03,FITB,1.17,140447595.8,26540.64,-0.07,-0.04,-0.09,0.67,-3.64
2005-01-03,TPR,1.76,75256165.33,10639.36,0.08,0.26,0.22,1.64,5.71
2005-01-03,NHHC^07,3.83,50453.67,73.1,0.07,0.33,0.33,0.64,0.63
2005-01-03,TLVTF^11,6.11,697611.67,247.2,0.06,,,-0.01,0.86
2005-01-03,HNGR^22,2.23,1667641.47,176.17,0.01,0.46,-0.23,0.26,1.05
2005-01-03,ALAB.1^08,2.29,1438384.64,1099.01,0.02,0.08,0.19,1.2,1.02
2005-01-03,CEMJQ^10,2.69,5648585.92,1354.26,0.02,0.19,0.98,0.36,0.43
2005-01-03,HYNLZ^12,0.0,0.0,7.71,0.0,0.0,0.0,0.0,0.0
2005-01-03,LFUS,3.56,7704022.38,760.16,-0.14,-0.05,-0.2,-4.28,-2.87
2005-01-03,SCBS^25,0.31,716.12,10.44,-0.19,-0.18,-0.18,-1.8,-0.9
2005-01-03,FSH.2^06,1.73,70943233.7,7295.92,0.05,0.03,0.09,2.76,5.03
2005-01-03,JACO,5.53,58674.44,25.05,-0.1,-0.28,-0.35,-0.31,-0.28
2005-01-03,DVA,2.33,39132576.24,3862.42,0.18,0.24,0.3,0.67,5.57
2005-01-03,PVFC^13,1.48,22479.71,97.03,-0.05,-0.01,-0.04,-0.16,0.0
2005-01-03,FBTXQ^15,1.95,1533178.08,387.36,-0.03,0.04,0.13,0.04,0.75
2005-01-03,QDHC^10,7.81,216456.1,100.02,0.3,-0.12,-0.16,0.23,0.15
